metric_group,metric,mean,std
clip_similarity,clip_similarity_mean,0.300252029299736,0.0004522859264405
clip_iqa,clip_iqa_win_rate,0.9367305751765894,0.00797493836871
clip_iqa,clip_iqa_margin_mean,0.0944862634439761,0.0006142982652285
blipscore,blip_itm_mean,0.9241630017757416,0.0023370587515466
retrieval_recall,i2t_recall@1,0.2511604439959636,0.0079352586281886
retrieval_recall,i2t_recall@5,0.496670030272452,0.0126501989458848
retrieval_recall,i2t_recall@10,0.6116044399596368,0.0103395184705395
retrieval_recall,t2i_recall@1,0.2033299697275479,0.007234489739227
retrieval_recall,t2i_recall@5,0.4058526740665994,0.0136975179719825
retrieval_recall,t2i_recall@10,0.5133703329969727,0.014621677916749
confusion_matrix,accuracy,0.2714934409687184,0.002831279081049
confusion_matrix,macro_f1,0.2122644585060633,0.0029466232289282
gpt4o_evaluation,gpt4o_semantic_mean,4.054004796830851,0.0407405223236411
gpt4o_evaluation,gpt4o_style_mean,3.9994657944583936,0.1344641069269165
random_caption_sanity,acc_correct_caption,0.7985000000000001,0.022477766792989
random_caption_sanity,acc_random_caption,0.773,0.0382883794381532
random_caption_sanity,accuracy_drop,0.0255,0.0203039405042469
class_randomized_sanity,acc_correct_caption,0.8160000000000001,0.0298161030317511
class_randomized_sanity,acc_wrong_style_caption,0.7945000000000001,0.0277893864631804
class_randomized_sanity,accuracy_drop,0.0214999999999999,0.0191115148536163
