seed,n_test,i2t_recall@1,t2i_recall@1,i2t_recall@5,t2i_recall@5,i2t_recall@10,t2i_recall@10
13,1982,0.24974772956609487,0.19727547931382441,0.5005045408678103,0.4127144298688194,0.6004036326942482,0.5116044399596368
14,1982,0.25075681130171545,0.20131180625630676,0.4924318869828456,0.3990918264379415,0.6054490413723511,0.5141271442986882
16,1982,0.24571140262361252,0.20787083753784055,0.4858728557013118,0.39959636730575177,0.5963673057517659,0.5010090817356205
17,1982,0.25075681130171545,0.19979818365287588,0.4939455095862765,0.39354187689202824,0.6099899091826438,0.49848637739656915
45,1982,0.24369323915237134,0.20736629667003026,0.4944500504540868,0.4112008072653885,0.6170534813319879,0.5161453077699294
48,1982,0.2532795156407669,0.20433905146316853,0.4863773965691221,0.40968718466195764,0.6099899091826438,0.5191725529767911
53,1982,0.25832492431886983,0.21594349142280525,0.513622603430878,0.42785065590312815,0.6286579212916246,0.5408678102926338
58,1982,0.26892028254288597,0.21089808274470231,0.5211907164480323,0.42330978809283554,0.6251261352169526,0.5302724520686175
72,1982,0.23814328960645811,0.18920282542885974,0.47628657921291623,0.3784056508577195,0.6024217961654894,0.4873864783047427
102,1982,0.2522704339051463,0.1992936427850656,0.5020181634712412,0.4031281533804238,0.62058526740666,0.5146316851664985
