class,acc,precision,recall,f1
conservative,0.7649,0.7567,0.7649,0.76
dressy,0.9598,0.9587,0.9598,0.9592
ethnic,0.8659,0.8593,0.8659,0.8616
fairy,0.947,0.9365,0.947,0.9414
feminine,0.7901,0.7725,0.7901,0.7784
gal,0.8427,0.8515,0.8427,0.8466
girlish,0.6608,0.7238,0.6608,0.6894
kireime-casual,0.7323,0.7219,0.7323,0.726
lolita,0.9718,0.9504,0.9718,0.9607
mode,0.834,0.8302,0.834,0.8318
natural,0.8605,0.8075,0.8605,0.8327
retro,0.7874,0.8359,0.7874,0.8102
rock,0.8366,0.8072,0.8366,0.8216
street,0.8861,0.9231,0.8861,0.904
