class,acc,precision,recall,f1
conservative,0.8043478260869565,0.7115384615384616,0.8043478260869565,0.7551020408163265
dressy,0.9402985074626866,0.9692307692307692,0.9402985074626866,0.9545454545454547
ethnic,0.875968992248062,0.837037037037037,0.875968992248062,0.856060606060606
fairy,0.965034965034965,0.92,0.965034965034965,0.9419795221843004
feminine,0.6776859504132231,0.8631578947368421,0.6776859504132231,0.7592592592592592
gal,0.8251748251748252,0.8251748251748252,0.8251748251748252,0.8251748251748252
girlish,0.7168674698795181,0.6918604651162791,0.7168674698795181,0.7041420118343196
kireime-casual,0.759493670886076,0.7228915662650602,0.759493670886076,0.7407407407407407
lolita,0.975,0.9629629629629629,0.975,0.9689440993788819
mode,0.8301886792452831,0.8048780487804879,0.8301886792452831,0.8173374613003096
natural,0.7984496124031008,0.7984496124031008,0.7984496124031008,0.7984496124031008
retro,0.7322834645669292,0.8230088495575221,0.7322834645669292,0.775
rock,0.8347107438016529,0.8145161290322581,0.8347107438016529,0.8244897959183675
street,0.8636363636363636,0.9300699300699301,0.8636363636363636,0.8956228956228957
