class,acc,precision,recall,f1
conservative,0.6916,0.6622,0.6916,0.6738
dressy,0.93,0.9619,0.93,0.9455
ethnic,0.8031,0.8431,0.8031,0.8197
fairy,0.8974,0.9376,0.8974,0.9162
feminine,0.6694,0.7674,0.6694,0.706
gal,0.7559,0.7523,0.7559,0.7483
girlish,0.6253,0.553,0.6253,0.5837
kireime-casual,0.638,0.6404,0.638,0.6353
lolita,0.9461,0.9528,0.9461,0.9491
mode,0.8057,0.7394,0.8057,0.7682
natural,0.7233,0.8006,0.7233,0.7525
retro,0.7024,0.7113,0.7024,0.7048
rock,0.7409,0.7876,0.7409,0.7588
street,0.7988,0.8248,0.7988,0.8091
