class,acc,precision,recall,f1
conservative,0.6884057971014492,0.6168831168831169,0.6884057971014492,0.6506849315068493
dressy,0.917910447761194,0.9761904761904762,0.917910447761194,0.9461538461538461
ethnic,0.813953488372093,0.84,0.813953488372093,0.8267716535433071
fairy,0.7916666666666666,0.9827586206896551,0.7916666666666666,0.8769230769230769
feminine,0.6611570247933884,0.7142857142857143,0.6611570247933884,0.6866952789699571
gal,0.8531468531468531,0.6069651741293532,0.8531468531468531,0.7093023255813954
girlish,0.5662650602409639,0.5949367088607594,0.5662650602409639,0.5802469135802469
kireime-casual,0.5632911392405063,0.6223776223776224,0.5632911392405063,0.5913621262458473
lolita,0.9875,0.9080459770114943,0.9875,0.9461077844311377
mode,0.8427672955974843,0.7570621468926554,0.8427672955974843,0.7976190476190476
natural,0.7441860465116279,0.7272727272727273,0.7441860465116279,0.735632183908046
retro,0.6141732283464567,0.7572815533980582,0.6141732283464567,0.6782608695652175
rock,0.743801652892562,0.7964601769911505,0.743801652892562,0.7692307692307692
street,0.7908496732026143,0.8175675675675675,0.7908496732026143,0.8039867109634551
