class,acc,precision,recall,f1
conservative,0.717,0.6873,0.717,0.6977
dressy,0.9464,0.9446,0.9464,0.9453
ethnic,0.8116,0.836,0.8116,0.8205
fairy,0.9421,0.925,0.9421,0.9324
feminine,0.705,0.7658,0.705,0.7279
gal,0.7671,0.7856,0.7671,0.7733
girlish,0.6229,0.6307,0.6229,0.6208
kireime-casual,0.6709,0.6549,0.6709,0.6577
lolita,0.948,0.9539,0.948,0.9507
mode,0.7906,0.764,0.7906,0.7703
natural,0.7248,0.827,0.7248,0.7717
retro,0.7417,0.7106,0.7417,0.7223
rock,0.7936,0.7593,0.7936,0.7735
street,0.802,0.8599,0.802,0.8271
