class,acc,precision,recall,f1
conservative,0.6376811594202898,0.6821705426356589,0.6376811594202898,0.6591760299625468
dressy,0.9407407407407408,0.9407407407407408,0.9407407407407408,0.9407407407407408
ethnic,0.8294573643410853,0.8492063492063492,0.8294573643410853,0.8392156862745098
fairy,0.9370629370629371,0.9054054054054054,0.9370629370629371,0.9209621993127148
feminine,0.7603305785123967,0.6715328467153284,0.7603305785123967,0.7131782945736435
gal,0.7412587412587412,0.8760330578512396,0.7412587412587412,0.803030303030303
girlish,0.6626506024096386,0.6145251396648045,0.6626506024096386,0.6376811594202899
kireime-casual,0.8164556962025317,0.5466101694915254,0.8164556962025317,0.6548223350253807
lolita,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944
mode,0.6855345911949685,0.8384615384615385,0.6855345911949685,0.754325259515571
natural,0.6976744186046512,0.8910891089108911,0.6976744186046512,0.782608695652174
retro,0.7401574803149606,0.7768595041322314,0.7401574803149606,0.7580645161290321
rock,0.7603305785123967,0.7796610169491526,0.7603305785123967,0.7698744769874478
street,0.8181818181818182,0.8873239436619719,0.8181818181818182,0.8513513513513514
