class,acc,precision,recall,f1
conservative,0.4492,0.452,0.4492,0.4442
dressy,0.7554,0.8271,0.7554,0.7791
ethnic,0.5395,0.6741,0.5395,0.5935
fairy,0.8144,0.8347,0.8144,0.8198
feminine,0.5124,0.5183,0.5124,0.5051
gal,0.5594,0.5733,0.5594,0.5619
girlish,0.4554,0.3845,0.4554,0.4106
kireime-casual,0.4873,0.5209,0.4873,0.4971
lolita,0.7595,0.8081,0.7595,0.779
mode,0.6434,0.6038,0.6434,0.6176
natural,0.5643,0.6409,0.5643,0.579
retro,0.4882,0.4682,0.4882,0.4679
rock,0.6089,0.5929,0.6089,0.59
street,0.5846,0.6442,0.5846,0.6046
