class,acc,precision,recall,f1
conservative,0.5289855072463768,0.44785276073619634,0.5289855072463768,0.4850498338870432
dressy,0.7686567164179104,0.7984496124031008,0.7686567164179104,0.7832699619771862
ethnic,0.4883720930232558,0.7875,0.4883720930232558,0.6028708133971291
fairy,0.7972027972027972,0.890625,0.7972027972027972,0.8413284132841329
feminine,0.4462809917355372,0.5806451612903226,0.4462809917355372,0.5046728971962617
gal,0.4965034965034965,0.6068376068376068,0.4965034965034965,0.5461538461538461
girlish,0.3855421686746988,0.4266666666666667,0.3855421686746988,0.40506329113924056
kireime-casual,0.4177215189873418,0.5789473684210527,0.4177215189873418,0.4852941176470589
lolita,0.7,0.8682170542635659,0.7,0.7750865051903114
mode,0.6981132075471698,0.4977578475336323,0.6981132075471698,0.581151832460733
natural,0.5968992248062015,0.7129629629629629,0.5968992248062015,0.6497890295358649
retro,0.6614173228346457,0.375,0.6614173228346457,0.47863247863247854
rock,0.6229508196721312,0.6031746031746031,0.6229508196721312,0.6129032258064517
street,0.7450980392156863,0.5757575757575758,0.7450980392156863,0.6495726495726497
