class,acc,precision,recall,f1
conservative,0.8913043478260869,0.6949152542372882,0.8913043478260869,0.780952380952381
dressy,0.9626865671641791,0.9772727272727273,0.9626865671641791,0.9699248120300752
ethnic,0.8604651162790697,0.9652173913043478,0.8604651162790697,0.9098360655737704
fairy,0.9444444444444444,0.9315068493150684,0.9444444444444444,0.9379310344827586
feminine,0.8677685950413223,0.7342657342657343,0.8677685950413223,0.7954545454545455
gal,0.8601398601398601,0.8424657534246576,0.8601398601398601,0.85121107266436
girlish,0.5783132530120482,0.7619047619047619,0.5783132530120482,0.6575342465753424
kireime-casual,0.6392405063291139,0.7769230769230769,0.6392405063291139,0.701388888888889
lolita,0.949685534591195,0.9320987654320988,0.949685534591195,0.940809968847352
mode,0.9056603773584906,0.8372093023255814,0.9056603773584906,0.8700906344410876
natural,0.875968992248062,0.7687074829931972,0.875968992248062,0.8188405797101449
retro,0.7795275590551181,0.868421052631579,0.7795275590551181,0.8215767634854771
rock,0.8760330578512396,0.7969924812030075,0.8760330578512396,0.8346456692913385
street,0.8311688311688312,0.920863309352518,0.8311688311688312,0.8737201365187713
