class,acc,precision,recall,f1
conservative,0.8115942028985508,0.6829268292682927,0.8115942028985508,0.7417218543046358
dressy,0.9552238805970149,0.9411764705882353,0.9552238805970149,0.9481481481481482
ethnic,0.8217054263565892,0.8153846153846154,0.8217054263565892,0.8185328185328187
fairy,0.958041958041958,0.9448275862068966,0.958041958041958,0.9513888888888888
feminine,0.7355371900826446,0.8476190476190476,0.7355371900826446,0.7876106194690266
gal,0.8531468531468531,0.8472222222222222,0.8531468531468531,0.8501742160278747
girlish,0.6746987951807228,0.6706586826347305,0.6746987951807228,0.6726726726726726
kireime-casual,0.620253164556962,0.7368421052631579,0.620253164556962,0.6735395189003437
lolita,0.96875,0.950920245398773,0.96875,0.9597523219814241
mode,0.7484276729559748,0.85,0.7484276729559748,0.7959866220735785
natural,0.8837209302325582,0.6993865030674846,0.8837209302325582,0.7808219178082191
retro,0.6929133858267716,0.8301886792452831,0.6929133858267716,0.7553648068669528
rock,0.8925619834710744,0.7883211678832117,0.8925619834710744,0.8372093023255814
street,0.8831168831168831,0.912751677852349,0.8831168831168831,0.8976897689768978
