class,acc,precision,recall,f1
conservative,0.8613138686131386,0.6820809248554913,0.8613138686131386,0.7612903225806451
dressy,0.9777777777777777,0.9361702127659575,0.9777777777777777,0.9565217391304348
ethnic,0.937984496124031,0.8962962962962963,0.937984496124031,0.9166666666666666
fairy,0.986013986013986,0.8924050632911392,0.986013986013986,0.9368770764119602
feminine,0.7272727272727273,0.8148148148148148,0.7272727272727273,0.7685589519650655
gal,0.8531468531468531,0.9104477611940298,0.8531468531468531,0.8808664259927798
girlish,0.6987951807228916,0.6904761904761905,0.6987951807228916,0.6946107784431138
kireime-casual,0.7341772151898734,0.7435897435897436,0.7341772151898734,0.7388535031847133
lolita,0.94375,0.9805194805194806,0.94375,0.9617834394904459
mode,0.8238993710691824,0.916083916083916,0.8238993710691824,0.8675496688741722
natural,0.8217054263565892,0.905982905982906,0.8217054263565892,0.8617886178861789
retro,0.8031496062992126,0.8571428571428571,0.8031496062992126,0.8292682926829268
rock,0.859504132231405,0.859504132231405,0.859504132231405,0.859504132231405
street,0.9285714285714286,0.9225806451612903,0.9285714285714286,0.9255663430420712
