metric,mean,std,min,max,median,ci_95_lower,ci_95_upper,n,model
accuracy,0.8325933400605449,0.011941321648829065,0.8183652875882946,0.8541876892028254,0.8312310797174571,0.8235889579601529,0.8415977221609369,10,concat_mlp
macro_precision,0.8368600811327308,0.011588433016864182,0.8216020292133537,0.8578724028936626,0.8359086039955751,0.8281217955478286,0.845598366717633,10,concat_mlp
macro_recall,0.8341894851783543,0.011663795951625892,0.818833403780589,0.8546711145484073,0.8323935183189913,0.8253943719925586,0.8429845983641501,10,concat_mlp
macro_f1,0.8332382353773488,0.012306834828576462,0.8184697876242292,0.8555424113285596,0.8320184868592837,0.8239582371910692,0.8425182335636283,10,concat_mlp
accuracy,0.8414732593340061,0.008175430514845266,0.8314833501513622,0.8577194752774975,0.8390514631685166,0.835308556434634,0.8476379622333782,10,gated_fusion
macro_precision,0.8423736262639933,0.007696914675756271,0.8345382269352818,0.8575412000489046,0.8396064912283387,0.8365697493755904,0.8481775031523962,10,gated_fusion
macro_recall,0.8439933690046558,0.008064580559234327,0.834714058624555,0.8602446742381172,0.8419409590900238,0.8379122527789775,0.8500744852303341,10,gated_fusion
macro_f1,0.841750444985483,0.008136868875596903,0.8331913556138,0.8579931463838327,0.8387718637260871,0.8356148195822559,0.8478860703887101,10,gated_fusion
accuracy,0.8424318869828455,0.007681790049778223,0.8319878910191726,0.855196770938446,0.8400605449041373,0.836639414854773,0.8482243591109181,10,blip
macro_precision,0.8440812818941243,0.007087195676978472,0.8353972055214222,0.8555898292039902,0.8426128030720306,0.8387371650725146,0.8494253987157341,10,blip
macro_recall,0.8447304546058249,0.007857949348578882,0.8330599547886343,0.857125205235393,0.8434366058228537,0.8388051491378938,0.8506557600737559,10,blip
macro_f1,0.8427748285834529,0.007732535929114427,0.8326068248594084,0.8554655498749059,0.8408105539321507,0.836944091403906,0.8486055657629997,10,blip
accuracy,0.6229061553985873,0.009546894516521302,0.6059535822401615,0.636226034308779,0.6258829465186679,0.6157072967942447,0.6301050140029298,10,vilbert
macro_precision,0.6224322292890864,0.007256724808527634,0.6110628988203806,0.6362225985963725,0.6229460634997586,0.6169602786210643,0.6279041799571085,10,vilbert
macro_recall,0.6239132279907215,0.009847017598105594,0.6076463752980825,0.6384116316219888,0.6266032019263374,0.6164880608601366,0.6313383951213063,10,vilbert
macro_f1,0.6154901746187319,0.00898020900844039,0.5993419908899894,0.6276758049181096,0.6175139145196971,0.6087186265747758,0.622261722662688,10,vilbert
