class,acc,precision,recall,f1
conservative,0.8043478260869565,0.7070063694267515,0.8043478260869565,0.7525423728813558
dressy,0.9477611940298507,0.9769230769230769,0.9477611940298507,0.962121212121212
ethnic,0.8527131782945736,0.8148148148148148,0.8527131782945736,0.8333333333333333
fairy,0.965034965034965,0.9324324324324325,0.965034965034965,0.9484536082474226
feminine,0.743801652892562,0.8490566037735849,0.743801652892562,0.7929515418502202
gal,0.8391608391608392,0.8391608391608392,0.8391608391608392,0.8391608391608392
girlish,0.6807228915662651,0.7197452229299363,0.6807228915662651,0.6996904024767802
kireime-casual,0.6772151898734177,0.7697841726618705,0.6772151898734177,0.7205387205387205
lolita,0.96875,0.9627329192546584,0.96875,0.9657320872274143
mode,0.7924528301886793,0.8076923076923077,0.7924528301886793,0.7999999999999999
natural,0.8682170542635659,0.7887323943661971,0.8682170542635659,0.8265682656826567
retro,0.7716535433070866,0.8099173553719008,0.7716535433070866,0.7903225806451613
rock,0.9008264462809917,0.7676056338028169,0.9008264462809917,0.8288973384030418
street,0.8831168831168831,0.9379310344827586,0.8831168831168831,0.9096989966555183
