class,acc,precision,recall,f1
conservative,0.6811594202898551,0.49473684210526314,0.6811594202898551,0.573170731707317
dressy,0.9477611940298507,0.9071428571428571,0.9477611940298507,0.927007299270073
ethnic,0.4573643410852713,0.6210526315789474,0.4573643410852713,0.5267857142857142
fairy,0.7847222222222222,0.7847222222222222,0.7847222222222222,0.7847222222222222
feminine,0.5702479338842975,0.5267175572519084,0.5702479338842975,0.5476190476190477
gal,0.5454545454545454,0.5954198473282443,0.5454545454545454,0.5693430656934307
girlish,0.28313253012048195,0.46078431372549017,0.28313253012048195,0.35074626865671643
kireime-casual,0.5443037974683544,0.48314606741573035,0.5443037974683544,0.5119047619047619
lolita,0.825,0.8354430379746836,0.825,0.8301886792452831
mode,0.5723270440251572,0.6642335766423357,0.5723270440251572,0.6148648648648649
natural,0.7906976744186046,0.5151515151515151,0.7906976744186046,0.6238532110091742
retro,0.3543307086614173,0.5921052631578947,0.3543307086614173,0.44334975369458124
rock,0.49586776859504134,0.5263157894736842,0.49586776859504134,0.5106382978723405
street,0.7581699346405228,0.6170212765957447,0.7581699346405228,0.6803519061583577
