class,acc,precision,recall,f1
conservative,0.7681159420289855,0.7851851851851852,0.7681159420289855,0.7765567765567766
dressy,0.9850746268656716,0.9295774647887324,0.9850746268656716,0.9565217391304348
ethnic,0.7906976744186046,0.8869565217391304,0.7906976744186046,0.8360655737704918
fairy,0.965034965034965,0.8961038961038961,0.965034965034965,0.9292929292929293
feminine,0.7851239669421488,0.7421875,0.7851239669421488,0.7630522088353414
gal,0.9020979020979021,0.832258064516129,0.9020979020979021,0.8657718120805369
girlish,0.5783132530120482,0.7384615384615385,0.5783132530120482,0.6486486486486487
kireime-casual,0.7911392405063291,0.6476683937823834,0.7911392405063291,0.7122507122507122
lolita,0.93125,0.9551282051282052,0.93125,0.9430379746835443
mode,0.7924528301886793,0.8456375838926175,0.7924528301886793,0.8181818181818182
natural,0.7984496124031008,0.8583333333333333,0.7984496124031008,0.8273092369477911
retro,0.8110236220472441,0.8512396694214877,0.8110236220472441,0.8306451612903226
rock,0.8770491803278688,0.7482517482517482,0.8770491803278688,0.8075471698113208
street,0.8562091503267973,0.9290780141843972,0.8562091503267973,0.891156462585034
