class,acc,precision,recall,f1
conservative,0.8913043478260869,0.6833333333333333,0.8913043478260869,0.7735849056603774
dressy,0.9850746268656716,0.9428571428571428,0.9850746268656716,0.9635036496350365
ethnic,0.8062015503875969,0.9122807017543859,0.8062015503875969,0.8559670781893004
fairy,0.9375,0.8881578947368421,0.9375,0.9121621621621622
feminine,0.7603305785123967,0.7301587301587301,0.7603305785123967,0.7449392712550608
gal,0.8391608391608392,0.8163265306122449,0.8391608391608392,0.8275862068965517
girlish,0.5481927710843374,0.7459016393442623,0.5481927710843374,0.6319444444444444
kireime-casual,0.759493670886076,0.6976744186046512,0.759493670886076,0.7272727272727273
lolita,0.96875,0.9567901234567902,0.96875,0.9627329192546584
mode,0.7295597484276729,0.8345323741007195,0.7295597484276729,0.7785234899328859
natural,0.8062015503875969,0.8253968253968254,0.8062015503875969,0.8156862745098039
retro,0.8346456692913385,0.848,0.8346456692913385,0.8412698412698413
rock,0.8099173553719008,0.7716535433070866,0.8099173553719008,0.7903225806451613
street,0.9084967320261438,0.9266666666666666,0.9084967320261438,0.9174917491749175
