class,acc,precision,recall,f1
conservative,0.4789,0.2901,0.4789,0.3595
dressy,0.8713,0.5471,0.8713,0.6707
ethnic,0.1496,0.3127,0.1496,0.1996
fairy,0.6113,0.5,0.6113,0.5477
feminine,0.1421,0.2107,0.1421,0.1674
gal,0.0727,0.2427,0.0727,0.1087
girlish,0.0392,0.2182,0.0392,0.0657
kireime-casual,0.3259,0.2661,0.3259,0.2876
lolita,0.6099,0.4948,0.6099,0.5387
mode,0.4352,0.3609,0.4352,0.3919
natural,0.3101,0.2711,0.3101,0.2856
retro,0.1268,0.3103,0.1268,0.1738
rock,0.4183,0.3571,0.4183,0.3831
street,0.5371,0.4223,0.5371,0.4708
