class,acc,precision,recall,f1
conservative,0.5072463768115942,0.2777777777777778,0.5072463768115942,0.358974358974359
dressy,0.8805970149253731,0.592964824120603,0.8805970149253731,0.7087087087087087
ethnic,0.13953488372093023,0.3157894736842105,0.13953488372093023,0.1935483870967742
fairy,0.5763888888888888,0.5460526315789473,0.5763888888888888,0.5608108108108109
feminine,0.15702479338842976,0.2753623188405797,0.15702479338842976,0.2
gal,0.03496503496503497,0.17857142857142858,0.03496503496503497,0.05847953216374269
girlish,0.018072289156626505,0.08823529411764706,0.018072289156626505,0.03
kireime-casual,0.43037974683544306,0.24113475177304963,0.43037974683544306,0.3090909090909091
lolita,0.575,0.5542168674698795,0.575,0.5644171779141104
mode,0.4716981132075472,0.35714285714285715,0.4716981132075472,0.4065040650406504
natural,0.2248062015503876,0.21804511278195488,0.2248062015503876,0.22137404580152673
retro,0.1968503937007874,0.32051282051282054,0.1968503937007874,0.24390243902439024
rock,0.4132231404958678,0.36764705882352944,0.4132231404958678,0.38910505836575876
street,0.5686274509803921,0.46774193548387094,0.5686274509803921,0.5132743362831859
